original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
I Love U,Chris Brown,International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),2011-06-17,77,227280,False,https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19,"['dance pop', 'miami hip hop', 'pop']"
After Lovin You ,Charlie Peacock,After Lovin You - Love Life Album Version,Charlie Peacock,Love Life,1991-01-01,2,291160,False,https://i.scdn.co/image/ab67616d0000b273aa2d416187454f35a51dde56,['deep christian rock']
If I Miss You Again Tonight,Tommy Overstreet,If I Miss You Again Tonight,Tommy Overstreet,22 Big Ones,2015,1,168213,False,https://i.scdn.co/image/ab67616d0000b27395f4e885eeb5f3253f2f5081,"['classic country pop', 'classic oklahoma country', 'nashville sound']"
Wrote For Luck ,Happy Mondays,Wrote for Luck - Remastered Version,Happy Mondays,Bummed (Collector's Edition),2007-01-01,28,364399,False,https://i.scdn.co/image/ab67616d0000b27340e5df6a7c6bb67435816a95,"['britpop', 'dance rock', 'madchester']"
Le Bagad De Lann Bihoue,Alain Souchon,Le bagad de Lann-Bihoué,Alain Souchon,"Toto 30 Ans, Rien Que Du Malheur...",1978-10-13,28,464066,False,https://i.scdn.co/image/ab67616d0000b2732dc47ef7fbde18802fc7785e,"['chanson', 'french rock']"
Beef,Capone-N-Noreaga,Beef,Capone-N-Noreaga,Follow The Dollar,2015-03-31,2,208453,True,https://i.scdn.co/image/ab67616d0000b273baea10409b14f632ecd7fb6f,"['east coast hip hop', 'queens hip hop']"
Find The Office,Patric C,Find the Office,Patric C,The Horrible Plans of Flex Busterman,1997,0,236826,False,https://i.scdn.co/image/ab67616d0000b273b8c647a312d7f947d47cb228,['digital hardcore']
Quasar,Kitaro,Quasar,Kitaro,Spiritual Garden,2006-02-21,3,410080,False,https://i.scdn.co/image/ab67616d0000b2735e5608f6df7248a4db773e96,"['healing', 'new age', 'synthesizer']"
Don't Let My Teardrops Bother You ,Dionne Warwick,Don't Let My Teardrops Bother You,Dionne Warwick,Just Being Myself,1973,6,243853,False,https://i.scdn.co/image/ab67616d0000b273ffb7cd4f7e1abcfceb045c79,"['adult standards', 'brill building pop', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Rotten Apples,The Smashing Pumpkins,Rotten Apples - BT Mix,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,22,185586,False,https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
Blue Blue Day,Don Gibson,"Blue, Blue Day",Don Gibson,Oh Lonesome Me,1958-04-25,34,113880,False,https://i.scdn.co/image/ab67616d0000b2739119d2e1293b5e31a9cf709e,['nashville sound']
Yi Xing,Miriam Yeung,良性反應,Miriam Yeung,Play It Loud Kiss Music Soft,2013-07-01,4,216360,False,https://i.scdn.co/image/ab67616d0000b273b76f86b80dd20b116836f22b,['cantopop']
Muh- F***a,Redman,Muh F***a - Album Version (Edited),Redman,Malpractice,2001-05-22,3,203960,False,https://i.scdn.co/image/ab67616d0000b273bc7db1098b4a4ddc2257d93c,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
Regarde Un Peu La France,Miossec,Regarde un peu la France,Miossec,Boire (25ème Anniversaire),1995,13,162280,False,https://i.scdn.co/image/ab67616d0000b273863f560f399c8fea7c09fc34,"['chanson', 'french rock', 'nouvelle chanson francaise']"
At The Movies ,Bad Brains,At the Movies,Bad Brains,Rock for Light,1983,27,136333,False,https://i.scdn.co/image/ab67616d0000b273b4bbc117f93eb572bebf9585,"['black punk', 'dc hardcore', 'hardcore punk', 'nyhc', 'punk']"
Send Me An Angel,Zeromancer,Send Me an Angel,Zeromancer,Eurotrash,2001-10-01,25,237960,False,https://i.scdn.co/image/ab67616d0000b2734ba16f80c3074c7580415d52,['industrial metal']
Send Me The Pillow You Dream On,Hank Locklin,Send Me the Pillow You Dream On,Hank Locklin,RCA Country Legends,2003-03-03,33,147440,False,https://i.scdn.co/image/ab67616d0000b27351626ff4836e45a4dafa5cda,['nashville sound']
Bullmoose ,Bobby Darin,Bullmoose,Bobby Darin,Sing & Swing with Bobby Darin,2007-10-30,4,147920,False,https://i.scdn.co/image/ab67616d0000b273862db99c6256291d040fe219,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
Titanium ,Kraftwerk,Titanium - 2009 Remaster,Kraftwerk,Tour de France (2009 Remaster),2003,10,201400,False,https://i.scdn.co/image/ab67616d0000b273d57ed87e9a1aedcb7a0514ce,"['dusseldorf electronic', 'early synthpop', 'electro', 'proto-techno', 'synthpop']"
"How To Say ""Rip Them Off""_ Repeat After Me",Melt Banana,"How to Say ""Rip Them Off"", Repeat After Me",Melt-Banana,Cactuses Come in Flocks,1994,0,29333,False,https://i.scdn.co/image/ab67616d0000b273058dea9e5b87a96bc903d0a5,"['experimental rock', 'japanoise', 'math rock', 'noise rock', 'noisecore']"
Émergences: III. Fragments d'épaves,David Palmer,Emergences: III. Fragments d'epaves,Alain Gagnon,"Palmer, David: Canadian Organ Music Showcase",2012-04-01,0,486960,False,https://i.scdn.co/image/ab67616d0000b273a1840a2f78354aee6e4ff83d,
King Bong,Bone Loc,Real - KingBeats FREQMix,King Beats,King Beats Presents: How High is Ur ... Motivation Hits From Tha Bong,2021-07-02,0,140237,True,https://i.scdn.co/image/ab67616d0000b27315fbc0590c0bc8895228c7f1,
We Need Love,Johnny Osbourne,We Need Love,Johnny Osbourne,"Soul Jazz Records Presents 100% Dynamite! Ska, Soul, Rocksteady and Funk in Jamaica",2015-09-25,35,217360,False,https://i.scdn.co/image/ab67616d0000b273556fa53252505adf6aded1e3,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
Long Way 2 Go ,Cassie,Long Way 2 Go,Cassie,Cassie (U.S. Version),2006-08-07,74,220639,False,https://i.scdn.co/image/ab67616d0000b273f4c4ee507c2558262869f415,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
Riot In Cell Block #9,Commander Cody And His Lost Planet Airmen,Riot in Cell Block #9 - Live,Commander Cody and His Lost Planet Airmen,Strange Adventures On Planet Earth (Live),2021-12-10,0,226506,False,https://i.scdn.co/image/ab67616d0000b273453e702f52952b7c926735de,['country rock']
Start Even,Tex Williams,Start Even,Tex Williams,Smoke Smoke Smoke,1960-01-01,20,191280,False,https://i.scdn.co/image/ab67616d0000b27332d29391915dc8f80945a4d5,"['cowboy western', 'western swing']"
Out Demons Out  ,The Edgar Broughton Band,Out Demons Out - 2004 Remaster,Edgar Broughton Band,The Harvest Years (1969-1973),2011-01-17,9,286320,False,https://i.scdn.co/image/ab67616d0000b2731498600144390779827c9006,"['acid rock', 'proto-metal', 'psychedelic blues-rock']"
Christmas All Over Again,Tom Petty And The Heartbreakers,Christmas All Over Again,Tom Petty and the Heartbreakers,A Very Special Christmas 2,1992-10-20,68,254200,False,https://i.scdn.co/image/ab67616d0000b27348dfcfd269a34c3555cb2da0,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
I Want More - Part 1,Faithless,I Want More - Part 1 - Live At Alexandra Palace,Faithless,Live At Alexandra Palace,2005-07-24,14,197800,False,https://i.scdn.co/image/ab67616d0000b273f8fe0201910c1a3b2e412e89,"['big beat', 'downtempo', 'electronica', 'trip hop']"
Better To Have Lost In Love ,Eurythmics,Better to Have Lost in Love (Than Never to Have Loved) - Remastered Version,Eurythmics,Be Yourself Tonight,1985-04-29,13,306666,False,https://i.scdn.co/image/ab67616d0000b2738b9d4820655b6bf032ed41f3,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
I'm Your Witchdoctor,John Mayall & The Bluesbreakers,I'm Your Witchdoctor,John Mayall & The Bluesbreakers,So Many Roads,2010-01-01,15,129653,False,https://i.scdn.co/image/ab67616d0000b2733ef2bc61cb382e08e43a9557,"['blues', 'blues rock', 'british blues', 'british invasion', 'electric blues', 'traditional blues']"
I Am Here,F.I.R.,Here I Am to Worship - Piano Version,Instrumental Worship Project from I’m In Records,Instrumental Worship: Hillsong on Piano,2017-10-02,45,232208,False,https://i.scdn.co/image/ab67616d0000b273de108cca8784bfcdc25f13b6,"['instrumental worship', 'piano worship', 'vbs']"
Planet E.,Thirst,Planet E,Thirst,Thirst,2004-02-06,0,237506,False,https://i.scdn.co/image/ab67616d0000b2736ad119713f7bab37eb8a8e7a,
Tomorrow,Jay & The Americans,Tomorrow,Jay & The Americans,Come A Little Bit Closer: The Best Of Jay & The Americans,1964,2,173533,False,https://i.scdn.co/image/ab67616d0000b2733fb91f6d6c412ef519dd3dee,"['bubblegum pop', 'classic garage rock', 'doo-wop', 'merseybeat', 'rock-and-roll']"
Metal Militia,Metallica,Metal Militia - Remastered,Metallica,Kill 'Em All (Remastered),1983-07-24,47,311466,False,https://i.scdn.co/image/ab67616d0000b273d30fcf6340831edbafb45e38,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
Un Pensamiento,Seguridad Social,Un pensamiento,Seguridad Social,Que No Se Extinga La Llama!,1991-06-12,11,280786,False,https://i.scdn.co/image/ab67616d0000b27378f1477625014155f10ffdb5,"['rock en espanol', 'spanish new wave', 'spanish pop']"
On My Mind  ,Rui Da Silva,On My Mind (feat. Ben Onono) - Original Bass Mix,Rui Da Silva,On My Mind - Remixes Part 2 (feat. Ben Onono),2009-11-24,17,496586,False,https://i.scdn.co/image/ab67616d0000b273311677f0d447e51d8351e2b8,"['classic house', 'portuguese electronic']"
Eugene's Lament,Beastie Boys,Eugene's Lament,Beastie Boys,Ill Communication,1994-05-23,33,132466,False,https://i.scdn.co/image/ab67616d0000b273436a305db8bd85b820da3e5a,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']"
Lost In The Future ,The Stooges,Lost in the Future - Take 1,The Stooges,Fun House (Deluxe Edition),1970,12,341706,False,https://i.scdn.co/image/ab67616d0000b27313aa419336db598eb2674b1a,"['alternative rock', 'detroit rock', 'permanent wave', 'protopunk', 'punk']"
One Scotch_ One Bourbon_ One Beer,Champion Jack Dupree,"One Scotch, One Bourbon, One Beer - Bonus Track",Champion Jack Dupree,The Sonet Blues Story,2005-01-01,24,254200,False,https://i.scdn.co/image/ab67616d0000b273faa4830f7a96ca9e5ed1b852,"['acoustic blues', 'barrelhouse piano', 'blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'traditional blues']"
Tokyo,1. Futurologischer Congress,Tokyo,1. Futurologischer Congress,Wer spricht,1983-04-12,0,135360,False,https://i.scdn.co/image/ab67616d0000b273cd887943da1b9a9a768224e2,['neue deutsche welle']
Motownphilly,Boyz II Men,Motownphilly,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),1991-04-30,56,235226,False,https://i.scdn.co/image/ab67616d0000b27373d0d8625dcf1e48043cfbf9,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']"
Choc'late Ice Cream Cone,Red Foley,Choc'late Ice Cream Cone,Red Foley,Peace in the Valley,2019-07-24,0,119693,False,https://i.scdn.co/image/ab67616d0000b273a1605946e61928aa2b6f731b,"['classic country pop', 'western swing']"
Fan Into Flame,John Michael Talbot,Fan Into Flame,John Michael Talbot,Meditations In The Spirit,1993,2,170440,False,https://i.scdn.co/image/ab67616d0000b2735028d68b867efe4e891d03fc,"['jesus movement', 'rosary']"
Pants_ Meet Shit,Daughters,"Pants, Meet Shit",Daughters,Canada Songs,2003-08-12,2,52106,True,https://i.scdn.co/image/ab67616d0000b2730443ecf26eee9e1f5d129586,"['experimental rock', 'noise rock', 'post-hardcore', 'rhode island indie']"
Hot Rod,Fiasko,Hot Rod - Beatmode & Carl Anians Remix,Fiasko,Hot Rod,2009-07-17,0,396923,False,https://i.scdn.co/image/ab67616d0000b273c949c9dbc3dd992cbab0558a,
Ability To Create A War,A Skylit Drive,Ability To Create A War,A Skylit Drive,She Watched The Sky,2007-11-27,23,88866,False,https://i.scdn.co/image/ab67616d0000b2734e1d35a56ec3dc56c17d285f,"['metalcore', 'neon pop punk', 'pixie', 'pop punk', 'screamo']"
Coke ,Flickerstick,Coke,Flickerstick,Welcoming Home The Astronauts,2001-10-18,15,288493,False,https://i.scdn.co/image/ab67616d0000b273dd69dc2258aa5d6040c07476,"['denton tx indie', 'grunge pop']"
Drown In My Own Tears ,Bobby Darin,Drown in My Own Tears,Bobby Darin,"Remastered Classics, Vol. 96, Bobby Darin",2022-02-18,0,201073,False,https://i.scdn.co/image/ab67616d0000b2734d2d5d14dce3e8cd7e00c624,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
Overdrive,Foo Fighters,Overdrive,Foo Fighters,One By One (Expanded Edition),2002-10-22,34,270186,False,https://i.scdn.co/image/ab67616d0000b273b00ee453b3496535eaa6e4b3,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Rendezvous - Ich hab' Dich seit langem nicht gesehen,Jawoll,Rendezvous - Ich hab' Dich seit langem nicht gesehen,Jawoll,Ich Will Spass,1990-09-04,24,237933,False,https://i.scdn.co/image/ab67616d0000b273ec2b6713d61a09dabefd8791,['neue deutsche welle']
She Made My Blood Run Cold,Rod Piazza & The Mighty Flyers,She Made My Blood Run Cold,Rod Piazza & The Mighty Flyers,For The Chosen Who,2005-07-19,0,257226,False,https://i.scdn.co/image/ab67616d0000b2736dd119353c1b88295638926e,
Zap Zap,Dynamite Deluxe,Zapzap,Dynamite Deluxe,Deluxe Soundsystem,2000-03-26,11,85160,True,https://i.scdn.co/image/ab67616d0000b2738cd0386d83ad92c8427155b3,"['german alternative rap', 'hamburg hip hop', 'oldschool deutschrap']"
Morning Has Broken,Bill Murk,Morning Has Broken,Bill Murk,Intercessor,2005-09-27,0,170271,False,https://i.scdn.co/image/ab67616d0000b27312a8acc55938325f64d11332,
Ms. Marseilles,John Brown,Ms. Marseilles,John Brown,"Burbstrumentals, Vol. 1",2008-08-01,0,114000,False,https://i.scdn.co/image/ab67616d0000b273bb17a211fe1a842da2d5a055,
Desde el este,Facto Delafe y las flores azules,Desde el este,Facto Delafe y las flores azules,La luz de la mañana,2007-10-09,15,100360,False,https://i.scdn.co/image/ab67616d0000b273df0ff8f51358a2f4c5caf1e4,['spanish indie pop']
The Marquis and the Scaffold ,Nick Ingman,"The Marquis and the Scaffold (From ""Quills"")",Nick Ingman,Quills,2000-11-21,2,186626,False,https://i.scdn.co/image/ab67616d0000b2738993831410949e257240f4c0,['library music']
The Bad And The Beautiful,David Raksin,"Love Is for the Very Young (Main Title Theme) (From ""The Bad and the Beautiful"")",David Raksin,Classic Film Scores: Laura/Forever Amber/The Bad and the Beautiful,1976,7,177026,False,https://i.scdn.co/image/ab67616d0000b273f07121e6e5a5fb35afb2028a,['classic soundtrack']
Hiroshima,Utopia,Hiroshima,Utopia,RA,1977-02-04,9,435933,True,https://i.scdn.co/image/ab67616d0000b27361851fbeec55f82d8dafe155,['beatlesque']
Finish the Job,Al Toomer,Finish the Job,Al Toomer,Urban Messiah,2003-07-01,2,225906,True,https://i.scdn.co/image/ab67616d0000b2732b7bb11962f1ab5a654211eb,['black comedy']
Let Me Show You The Way ,Toni Braxton,Let Me Show You The Way (Out),Toni Braxton,More Than A Woman,2002-11-19,26,258493,False,https://i.scdn.co/image/ab67616d0000b273aa312809105ddb1d9023a619,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']"
Wave,Gal Costa,Wave,Gal Costa,Rio Revisited,1989,36,170680,False,https://i.scdn.co/image/ab67616d0000b2737bd1bc1f39ea445ff229130b,"['bossa nova', 'mpb', 'tropicalia']"
O Morro ,Sergio Mendes,O Morro Nao Tem Vez,Sérgio Mendes Trio,Bossa Nova York,1967-01-01,11,319800,False,https://i.scdn.co/image/ab67616d0000b2735589b5a9e81e9ad4d434ef02,"['bossa nova', 'bossa nova jazz', 'samba-jazz']"
Ompa Til Du Dör,Kaizers Orchestra,Ompa til du dør,Kaizers Orchestra,Ompa til du dør,2001-08-29,42,304431,False,https://i.scdn.co/image/ab67616d0000b273470a3b4a5c64896425a8f521,"['dark cabaret', 'norwegian alternative rock', 'norwegian rock', 'rogaland indie', 'rogaland musikk']"
Caution,Maxi Priest,Caution,Maxi Priest,The Best Of Me,1991-01-01,8,292266,False,https://i.scdn.co/image/ab67616d0000b2739357c8c5ca8c40d86bf01525,"['lovers rock', 'reggae', 'reggae fusion']"
Yesss Lord...,Perfection,Yesss Lord...,Perfection,Perfection,2008-04-22,0,251960,False,https://i.scdn.co/image/ab67616d0000b273c0a688e3e4156523db2212e3,
Bed's Too Big Without You,Inner Circle,Bed's Too Big Without You,Inner Circle,Spirits In The Material World: A Reggae Tribute To The Police,2008-02-18,1,228902,False,https://i.scdn.co/image/ab67616d0000b273bf4b54fa78dfc8d34f6fbd08,"['reggae', 'reggae fusion']"
Cranford: Holbrook,Carl Davis,Cranford: Holbrook,Carl Davis,"Davis, C.: Cranford",2010-01-26,7,157760,False,https://i.scdn.co/image/ab67616d0000b273c45498fc454e5b2c7d1a6a18,
Swing Life Away,Rise Against,Swing Life Away,Rise Against,Siren Song Of The Counter-Culture,2004-01-01,55,200066,False,https://i.scdn.co/image/ab67616d0000b2731107b18eac8c7824908069cd,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']"
The drifter,Dennis Brown,The Drifter,Dennis Brown,Brown,2007-01-02,1,225000,False,https://i.scdn.co/image/ab67616d0000b2732515bd75076e2ff0db627fbf,"['lovers rock', 'reggae', 'roots reggae']"
Inhume,Inhume,Inhume,Inhume,In for the kill,2003,3,185346,False,https://i.scdn.co/image/ab67616d0000b273bf9631fdf7f3400bef2312ea,"['deathgrind', 'dutch death metal', 'goregrind', 'grindcore']"
Warten,Andreas Dorau,Warten,Andreas Dorau,Ärger mit der Unsterblichkeit,2005-01-01,0,224560,False,https://i.scdn.co/image/ab67616d0000b27333e6ec9284f963f3f59df2ee,['neue deutsche welle']
God's Will,Martina McBride,God's Will,Martina McBride,Martina,2003-09-30,30,349333,False,https://i.scdn.co/image/ab67616d0000b2731afac23dd54e6420bf11b4a8,"['contemporary country', 'country', 'country dawn', 'country road']"
Excuse me,Papa Wemba,Excuse Me,Papa Wemba,Papa Wemba Live New Morning,2006-06-09,4,168746,False,https://i.scdn.co/image/ab67616d0000b27343f28659a03f9cdb747085fa,"['afropop', 'rumba congolaise', 'soukous', 'zilizopendwa']"
I Want To Know You More,Scott Krippayne,I Want To Know You More - The God Chasers Album Version,Scott Krippayne,The God Chasers,2001-01-01,1,231666,False,https://i.scdn.co/image/ab67616d0000b273c2803348d728a565d0f759f7,['lds youth']
Co-Pilot ,Letters To Cleo,Co-Pilot,Letters To Cleo,Go!,1997-09-26,36,220773,False,https://i.scdn.co/image/ab67616d0000b27394cf2f85642f25609b719cfc,"['alternative pop', 'boston rock', 'candy pop', 'lilith']"
Your One And Only ,Brenda Lee,Your One and Only,Brenda Lee,Brenda Lee,1991,2,188266,False,https://i.scdn.co/image/ab67616d0000b2739f2e24ad7eb5a77b59250047,"['adult standards', 'easy listening', 'lounge', 'rockabilly']"
Never Really Knew U,Arika Kane,Never Really Knew U,Arika Kane,Arika Kane,2011-08-03,0,237146,False,https://i.scdn.co/image/ab67616d0000b273a881c337db19efc2eb384b73,
Lindas Africanas,Africando,Lindas Africanas,Africando,Martina,2003-01-01,21,461200,False,https://i.scdn.co/image/ab67616d0000b2732e067d0665ff375f0b7d42b5,"['mambo', 'salsa']"
Baby Doll,Migraine,Baby Doll,Migraine,David Shrinks,1996,0,110733,False,https://i.scdn.co/image/ab67616d0000b27382107daeb4dd5bcf1d627b93,
Ghetto Curse Words ,5th Ward Boyz,Ghetto Curse Words,5th Ward Boyz,Ghetto Dope,2013-08-15,4,131293,True,https://i.scdn.co/image/ab67616d0000b273323a8e51216547c1920d24b4,"['dirty south rap', 'dirty texas rap', 'houston rap']"
The Rainbow Bridge,Danny Williams,The Rainbow Bridge,Danny Williams,The Gentle Touch,1996-11-09,0,254000,False,https://i.scdn.co/image/ab67616d0000b27372f6d0b9249c81c0443a8e0b,
Two Hearts One Love,Shania Twain,Two Hearts One Love,Shania Twain,Shania Twain,2011-05-10,0,216706,False,https://i.scdn.co/image/ab67616d0000b2734f3ea563de2b36431a640bfd,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']"
Brampton Boogaloo,Mocambo Allstars,Brampton Boogaloo,Mocambo Allstars,Wind Rose,2007-09-03,0,233746,False,https://i.scdn.co/image/ab67616d0000b273a86d7655cd623af48813e8a2,
Now It's My Turn ,Berlin,Now It's My Turn - Orchestral Version,Berlin,Now It's My Turn,2021-01-01,0,263912,False,https://i.scdn.co/image/ab67616d0000b27328e61419294ae8a160a45905,"['new romantic', 'new wave pop', 'synthpop']"
Ruby Don't Take Your Love To Town,Ed Bruce,Ruby Don't Take Your Love To Town,Ed Bruce,Ed Bruce (A.K.A Edwin Bruce) Selected Hits,2006-06-12,0,165250,False,https://i.scdn.co/image/ab67616d0000b2738b8f4c303e0b1ccde3794969,"['arkansas country', 'classic country pop', 'outlaw country']"
Missing ,Evanescence,Missing,Evanescence,Anywhere But Home (Live),2004-01-01,50,256053,False,https://i.scdn.co/image/ab67616d0000b273448aba708690c87f0b043b5b,['alternative metal']
Single Again ,Rick Ross,Single Again Remix,Trina,Southern Mixtape Exclusives 3,2019-12-01,26,181626,True,https://i.scdn.co/image/ab67616d0000b2731c013cff8a00902af868c55f,"['contemporary r&b', 'dirty south rap', 'hip pop', 'miami hip hop', 'r&b', 'rap latina', 'southern hip hop', 'trap queen']"
A Fall Song,Cross Country,A Fall Song,Cross Country,Cross Country,2006-02-27,0,168773,False,https://i.scdn.co/image/ab67616d0000b273bdc76cef207f6f8203737240,
Tengo Un Novio Tántriko,Las Ketchup,Tengo Un Novio Tántriko,Las Ketchup,Hijas del Tomate,2002,20,195133,False,https://i.scdn.co/image/ab67616d0000b27354dbaa284c53e085523cfec2,['flamenco electronica']
Sexo_ Pudor Y Lágrimas ,Aleks Syntek,Sexo Pudor Y Lágrimas,Aleks Syntek,89-99,1999-01-01,57,236866,False,https://i.scdn.co/image/ab67616d0000b273570d12af07290fda65c93936,"['latin arena pop', 'latin pop', 'mexican pop']"
Alive,Dala,Alive,Dala,Everyone Is Someone,2009,3,242040,False,https://i.scdn.co/image/ab67616d0000b273685cd0314971d03a5c9e6bbd,"['canadian folk', 'tearout']"
The Conversation,Mt. Wilson Repeater,The Conversation,Mt. Wilson Repeater,Mt. Wilson Repeater,2008-10-05,0,299880,False,https://i.scdn.co/image/ab67616d0000b27330671d314080505b2bc9a948,['jangle rock']
Vapour Fragments,Intex Systems,Vapour Fragments,Intex Systems,Research & Development,2008-11-14,0,131146,False,https://i.scdn.co/image/ab67616d0000b2732ff10415b6ee66dc5f782071,
Ich bin jung und brauche das Geld,Eko Fresh feat. G-Style,Ich bin jung und brauche das Geld (feat. G-Style),Eko Fresh,Ich bin jung und brauche das Geld,2003-11-03,36,266573,False,https://i.scdn.co/image/ab67616d0000b2733d58cfde196ccbb9bdf05d61,"['cologne hip hop', 'german hip hop', 'turkish hip hop']"
Standin In,Tunsi,Standin In,Tunsi,Inner-Cept,2010-01-07,0,235773,False,https://i.scdn.co/image/ab67616d0000b27308bd24bbfbc4d35d4403031a,
Angel Fire,Eddy Raven,Angel Fire,Eddy Raven,20 Favorites,1998-01-01,6,223226,False,https://i.scdn.co/image/ab67616d0000b2732dae7e28ee709722b681452a,['classic country pop']
Slangen I Paradis,Cutting Edge,Slangen i paradis,Cutting Edge,Alle tre,1995,0,340349,False,https://i.scdn.co/image/ab67616d0000b273049eefbc8c0071b46a407f9b,
M'En Vas A La Fontaine,Jacques Douai,M'En Vas A La Fontaine,Jacques Douai,Heritage - Récital n°3 & 4 - BAM (1956-1957),2008-01-01,0,107453,False,https://i.scdn.co/image/ab67616d0000b27345fb4042ecd788512338c10b,['vintage chanson']
Free ,Dark new Day,Free,Dark new Day,Twelve Year Silence (U.S. Release),2005-06-14,18,278013,False,https://i.scdn.co/image/ab67616d0000b273f1d21d2b6a4c2857f5412089,"['hard alternative', 'post-grunge']"
Make Me Believe,Martina McBride,Make Me Believe,Martina McBride,Emotion,1999-04-05,2,230640,False,https://i.scdn.co/image/ab67616d0000b273d78fda5c4f823307ab671897,"['contemporary country', 'country', 'country dawn', 'country road']"
Loving You,Johnny Nash,Loving You,Johnny Nash,The Best Of,1991-11-04,4,159893,False,https://i.scdn.co/image/ab67616d0000b27316df75907937be3c80456a27,
Let's Go To The Darkside Of The Moon ,Original Love,月の裏で会いましょう - 結晶 -SOUL LIBERATION- Version,Original Love,ＴＨＥ　ＶＥＲＹ　ＢＥＳＴ　ＯＦ　ＯＲＩＧＩＮＡＬ　ＬＯＶＥ,1995-04-28,28,292733,False,https://i.scdn.co/image/ab67616d0000b273012051411916ee005b0b70a4,"['j-rock', 'shibuya-kei']"
Fallen ,Ill Niño,Fallen,Ill Niño,Revolution Revolucion [Special Edition],2001-09-10,19,218426,False,https://i.scdn.co/image/ab67616d0000b2737aff2ee52cd4a3b16bcfccd0,"['alternative metal', 'industrial metal', 'latin metal', 'nu metal']"
"Born In Louisiana [with Clarence ""Gatemouth"" Brown] [Live]",Kenny Wayne Shepherd,"Born in Louisiana (with Clarence ""Gatemouth"" Brown) - Live",Kenny Wayne Shepherd,10 Days Out: Blues from the Backroads,2006-12-11,9,386493,False,https://i.scdn.co/image/ab67616d0000b273ebd21ae8a097989188823cbe,"['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock']"
What Do I Know,Unkle Bob,What Do I Know,Unkle Bob,Sugar and Spite,2006-10-20,4,252133,False,https://i.scdn.co/image/ab67616d0000b2738b8230dc3d392b8e13c58cbd,['deep acoustic pop']
What Is Light? Where Is Laughter? ,Twin Atlantic,What Is Light? Where Is Laughter? (Skrillex Remix),Twin Atlantic,Vivarium (Deluxe),2009,24,358121,False,https://i.scdn.co/image/ab67616d0000b2737c944dffc2b692931dbd06ed,"['british alternative rock', 'modern alternative rock', 'scottish rock']"
Quiet Time,Regina Belle,Quiet Time,Regina Belle,Passion,1993-01-31,21,307333,False,https://i.scdn.co/image/ab67616d0000b273a743b88f89ee58a228549c97,"['contemporary r&b', 'quiet storm', 'urban contemporary']"
Wave,Patti Smith Group,Wave,Patti Smith,Wave,1979,20,280800,False,https://i.scdn.co/image/ab67616d0000b273297dd2e5a0e6f916364eddc8,"['art punk', 'permanent wave', 'protopunk', 'singer-songwriter']"
Mamma's Kitchen,Cece Winans,Mamma's Kitchen,CeCe Winans,Purified,2005-09-13,21,185026,False,https://i.scdn.co/image/ab67616d0000b273fab760bc4709180c6a79f37f,['gospel']
Don't Wait For Me,Fred Locks,Don't Wait For Me,Fred Locks,Never Give Up,1998,0,243440,False,https://i.scdn.co/image/ab67616d0000b273cc66e01bdbf118738282eff6,"['lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
It Hurts Me To My Heart,Bobby Marchan,It Hurts me to my Heart,Bobby Marchan,There's Something On Your Mind,2022-10-28,0,163800,False,https://i.scdn.co/image/ab67616d0000b27330989e44ab18b5afba93efc1,"['new orleans soul', 'rhythm and blues']"
